haut_tot,haut_tronc,tronc_diam,age_estim,ratio_h_d,nb_voisins_20m,nb_voisins_50m,nb_voisins_100m,dist_plus_proche,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,remarquable,clc_quartier,y
20.0,6.0,175.0,80.0,11.428571428571429,15,66,173,5.794884117579708,senescent,r'eduit rel^ach'e,gazon,groupe,non,oui,quartier remicourt,0
20.0,6.0,215.0,80.0,9.30232558139535,17,60,177,5.016336891745933,senescent,r'eduit rel^ach'e,gazon,groupe,non,oui,quartier remicourt,0
20.0,6.0,170.0,80.0,11.764705882352942,15,56,178,5.016336891745933,senescent,r'eduit rel^ach'e,gazon,groupe,non,oui,quartier remicourt,0
20.0,6.0,160.0,80.0,12.5,17,63,169,6.679989344542522,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,8.0,160.0,80.0,11.875,15,69,160,5.52831358170332,senescent,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,1
19.0,6.0,130.0,80.0,14.615384615384615,15,55,135,6.299024468151599,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,6.0,175.0,80.0,10.857142857142858,12,47,116,5.968263935079267,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
21.0,8.0,170.0,80.0,12.352941176470589,13,50,120,4.997238638884147,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,8.0,150.0,80.0,12.666666666666666,11,52,127,5.309925254566917,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,5.0,120.0,80.0,15.833333333333334,13,54,135,5.716076036107865,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,8.0,135.0,80.0,14.074074074074073,15,62,149,5.968067083786963,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,6.0,150.0,80.0,12.666666666666666,15,63,157,5.52831358170332,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,8.0,140.0,80.0,13.571428571428573,16,60,163,5.61972224331042,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,7.0,115.0,80.0,16.521739130434785,14,58,161,5.990088871139981,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
22.0,8.0,240.0,130.0,9.166666666666668,13,60,145,6.112791305084801,senescent,semi libre,gazon,groupe,non,oui,quartier remicourt,0
19.0,8.0,180.0,130.0,10.555555555555555,9,53,126,5.309925254566917,senescent,semi libre,gazon,groupe,non,oui,quartier remicourt,0
19.0,8.0,130.0,80.0,14.615384615384615,11,50,121,4.997238638884147,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
19.0,6.0,140.0,80.0,13.571428571428573,8,50,131,8.094258869508415,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,7.0,155.0,80.0,12.258064516129032,11,54,155,6.805968828871418,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,7.0,140.0,80.0,13.571428571428573,11,55,161,6.2054516747837924,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,7.0,145.0,80.0,13.10344827586207,10,56,188,6.456201701940427,adulte,r'eduit rel^ach'e,gazon,groupe,non,non,quartier remicourt,0
19.0,7.0,160.0,80.0,11.875,14,57,191,5.726608878318895,senescent,semi libre,gazon,groupe,non,non,quartier remicourt,0
